Pos -15.7 ;Beat 1
Pos -10.58738 ;Beat 2
Pos -7.745705 ;Beat 3
Pos -4.915051 ;Beat 4
Pos -2.185482 ;Beat 5
Pos 0.6451721 ;Beat 6
Pos 3.587654 ;Beat 7
Pos 6.519405 ;Beat 8
Pos 9.24897 ;Beat 9
Pos 12.06102 ;Beat 10
Pos 14.833 ;Beat 11
Pos 17.66365 ;Beat 12
Pos 20.46532 ;Beat 13
Pos 23.49817 ;Beat 14
Pos 26.32883 ;Beat 15
Pos 29.05839 ;Beat 16
Pos 31.89727 ;Beat 17
Pos 34.72794 ;Beat 18
Pos 37.5586 ;Beat 19
Pos 40.28815 ;Beat 20
Pos 43.2199 ;Beat 21
Pos 46.05792 ;Beat 22
Pos 48.88858 ;Beat 23
Pos 51.61815 ;Beat 24
Pos 54.5499 ;Beat 25
Pos 57.38055 ;Beat 26
Pos 60.14644 ;Beat 27
Pos 63.07819 ;Beat 28
Pos 65.90887 ;Beat 29
Pos 68.73951 ;Beat 30
Pos 71.5861 ;Beat 31
Pos 74.32439 ;Beat 32
Pos 77.15505 ;Beat 33
Pos 79.9857 ;Beat 34
Pos 82.83029 ;Beat 35
Pos 85.76204 ;Beat 36
Pos 88.658 ;Beat 37
Pos 91.48867 ;Beat 38
Pos 94.21825 ;Beat 39
Pos 97.04888 ;Beat 40
Pos 99.87954 ;Beat 41
Pos 102.9233 ;Beat 42
Pos 105.6528 ;Beat 43
Pos 108.4835 ;Beat 44
Pos 111.3142 ;Beat 45
Pos 114.1448 ;Beat 46
Pos 117.0118 ;Beat 47
Pos 119.7414 ;Beat 48
Pos 122.6732 ;Beat 49
Pos 125.5038 ;Beat 50
Pos 128.2334 ;Beat 51
Pos 131.064 ;Beat 52
Pos 134.0067 ;Beat 53
Pos 136.7363 ;Beat 54
Pos 139.668 ;Beat 55
Pos 142.4739 ;Beat 56
Pos 145.3046 ;Beat 57
Pos 148.061 ;Beat 58
Pos 150.9754 ;Beat 59
Pos 153.8061 ;Beat 60
Pos 156.6367 ;Beat 61
Pos 159.4674 ;Beat 62
Pos 162.3239 ;Beat 63
Pos 165.1546 ;Beat 64
Pos 167.9852 ;Beat 65
Pos 170.7148 ;Beat 66
Pos 173.5455 ;Beat 67
Pos 176.4084 ;Beat 68
Pos 179.2391 ;Beat 69
Pos 182.1762 ;Beat 70
Pos 184.9511 ;Beat 71
Pos 187.8025 ;Beat 72
Pos 190.532 ;Beat 73
Pos 193.3627 ;Beat 74
Pos 196.1934 ;Beat 75
Pos 199.2262 ;Beat 76
Pos 201.9663 ;Beat 77
Pos 204.797 ;Beat 78
Pos 207.6277 ;Beat 79
Pos 210.4583 ;Beat 80
Pos 213.1879 ;Beat 81
Pos 216.0314 ;Beat 82
Pos 218.9632 ;Beat 83
Pos 221.7939 ;Beat 84
Pos 224.6245 ;Beat 85
Pos 227.377 ;Beat 86
Pos 230.3205 ;Beat 87
Pos 233.05 ;Beat 88
Pos 235.8807 ;Beat 89
Pos 238.9136 ;Beat 90
Pos 241.6888 ;Beat 91
Pos 244.6286 ;Beat 92
Pos 247.3582 ;Beat 93
Pos 250.1888 ;Beat 94
Pos 253.0195 ;Beat 95
Pos 255.7491 ;Beat 96
Pos 258.6913 ;Beat 97
